objID,plate,mjd,fiberID,class,subClass,redshift,redshiftError,velocityDispersion,velocityDispersionError,spectrum_fits_url
2.03005E+18,1803,54152,201,GALAXY,AGN,0.08594703,1.77E-05,237.894,9.349613,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1803/spec-1803-54152-0201.fits
2.99597E+17,266,51630,392,GALAXY,AGN,0.1225,1.09E-05,131.1186,13.62405,
2.99602E+17,266,51630,411,GALAXY,AGN,0.1232092,1.66E-05,104.692,8.573051,
6.52356E+18,5794,56282,354,QSO,AGN BROADLINE,0.556888,7.05E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5794/spec-5794-56282-0354.fits
6.52357E+18,5794,56282,372,STAR,WDmagnetic,0.002420233,1.29E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5794/spec-5794-56282-0372.fits
6.52465E+18,5795,56298,200,STAR,WDmagnetic,0.001732788,0.37451,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5795/spec-5795-56298-0200.fits
8.25195E+18,7329,56719,825,STAR,WDmagnetic,0.000506282,0.000390012,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7329/spec-7329-56719-0825.fits
2.37792E+18,2112,53534,72,GALAXY,AGN BROADLINE,0.07932691,1.22E-05,181.8368,6.437863,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2112/spec-2112-53534-0072.fits
9.95348E+17,884,52374,189,GALAXY,AGN,0.08668872,1.44E-05,93.61635,11.44405,
9.95357E+17,884,52374,224,GALAXY,AGN,0.1504547,2.20E-05,180.6225,17.12381,
1.27465E+19,11321,58425,613,STAR,WDmagnetic,0.000818831,3.018128,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11321/spec-11321-58425-0613.fits
1.27465E+19,11321,58425,618,STAR,WDmagnetic,0.002887902,1.71E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11321/spec-11321-58425-0618.fits
1.41042E+19,12527,58930,12,GALAXY,AGN,0.05000024,1.20E-05,154.7441,5.931054,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/12527/spec-12527-58930-0012.fits
2.03227E+18,1805,53875,68,GALAXY,AGN,0.1143209,2.12E-05,181.1642,9.232105,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1805/spec-1805-53875-0068.fits
2.03227E+18,1805,53875,69,GALAXY,AGN,0.07794179,8.54E-06,104.3083,11.79424,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1805/spec-1805-53875-0069.fits
1.34887E+18,1198,52669,150,GALAXY,AGN,0.09542806,1.44E-05,101.0181,8.616827,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1198/spec-1198-52669-0150.fits
1.34887E+18,1198,52669,169,GALAXY,AGN,0.09515502,1.01E-05,132.2403,7.411479,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1198/spec-1198-52669-0169.fits
1.20764E+19,10726,58199,91,GALAXY,AGN,0.495002,3.31E-05,189.9556,44.71699,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/10726/spec-10726-58199-0091.fits
6.87942E+18,6110,56279,606,GALAXY,AGN,0.4343089,5.58E-05,208.1595,17.22797,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6110/spec-6110-56279-0606.fits
